,日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率,setting,day_end,前日の差枚,前日のG数,前日のBB確率,前日のRB確率
2113,2023-05-28,マイジャグラーV,138,5108,-721,15,15,170.3,340.5,340.5,5.68546782125666,2,8,-674.0,2938.0,419.7,267.1
2114,2023-05-28,マイジャグラーV,139,5060,-1266,15,14,174.5,337.3,361.4,6.118286242631341,1,8,-390.0,1248.0,416.0,312.0
2115,2023-05-28,マイジャグラーV,140,5816,131,24,12,161.6,242.3,484.7,5.842611283185412,1,8,-863.0,4978.0,292.8,622.2
2116,2023-05-28,マイジャグラーV,141,4735,107,16,14,157.8,295.9,338.2,5.468015067441752,2,8,-1431.0,4254.0,386.7,354.5
2117,2023-05-28,マイジャグラーV,142,7907,391,30,27,138.7,263.6,292.9,5.939167636077702,1,8,-485.0,1659.0,331.8,1659.0
2118,2023-05-28,マイジャグラーV,143,7270,1669,30,30,121.2,242.3,242.3,5.798053227863262,5,8,1622.0,7515.0,214.7,375.8
2119,2023-05-28,マイジャグラーV,144,7550,1456,32,23,137.3,235.9,328.3,5.637088270315928,3,8,-71.0,2564.0,256.4,320.5
2120,2023-05-28,マイジャグラーV,145,6624,225,27,16,154.0,245.3,414.0,5.885723715971928,1,8,-1384.0,5551.0,326.5,427.0
2121,2023-05-28,マイジャグラーV,146,5170,-319,16,15,166.8,323.1,344.7,5.509458318610029,2,8,-414.0,909.0,909.0,303.0
2122,2023-05-28,マイジャグラーV,147,7785,580,29,26,141.5,268.4,299.4,5.7319427432852486,3,8,-153.0,1300.0,216.7,0.0
2123,2023-05-28,マイジャグラーV,148,6939,178,27,20,147.6,257.0,346.9,5.922797708225963,1,8,-224.0,1787.0,297.8,595.7
2124,2023-05-28,マイジャグラーV,149,6128,273,26,15,149.5,235.7,408.5,6.029390939126145,1,8,438.0,1956.0,195.6,489.0
2125,2023-05-28,マイジャグラーV,150,4136,-1786,11,7,229.8,376.0,590.9,6.148160774582634,1,8,-1029.0,3073.0,384.1,512.2
2126,2023-05-28,マイジャグラーV,1097,4504,-95,17,7,187.7,264.9,643.4,5.485569147103246,1,8,-1644.0,3810.0,423.3,544.3
2127,2023-05-28,マイジャグラーV,1098,6141,-343,21,16,166.0,292.4,383.8,5.680368462405137,2,8,-769.0,2857.0,357.1,476.2
2128,2023-05-28,マイジャグラーV,1099,5934,-24,26,12,156.2,228.2,494.5,6.222845003095967,1,8,-1171.0,3226.0,460.9,537.7
