日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率,setting,day_end,合成回数,機種台数,前日のG数,前日の差枚,前日のBB回数,前日のRB回数,前日の合成回数,前日の合成確率,前日のBB確率,前日のRB確率,前日のG数ランキング,前日の差枚ランキング,前日の合成回数ランキング,前日の合成確率ランキング,2日前のG数,2日前の差枚,2日前のBB回数,2日前のRB回数,2日前の合成回数,2日前の合成確率,2日前のBB確率,2日前のRB確率,3日前のG数,3日前の差枚,3日前のBB回数,3日前のRB回数,3日前の合成回数,3日前の合成確率,3日前のBB確率,3日前のRB確率,G数過去2日間合計,差枚過去2日間合計,合成回数過去2日間合計,合成確率過去2日間平均,G数過去3日間合計,差枚過去3日間合計,合成回数過去3日間合計,合成確率過去3日間平均,過去2日間合計G数ランキング,過去2日間合計差枚ランキング,過去2日間合計合成回数ランキング,過去2日間平均合成確率ランキング,過去3日間合計G数ランキング,過去3日間合計差枚ランキング,過去3日間合計合成回数ランキング,過去3日間平均合成確率ランキング
2023-09-14,ハッピージャグラーVIII,203,836,-210,3,1,209.0,278.7,836.0,6.377232365064514,0,4,4,6,2501.0,-597.0,7.0,8.0,15.0,166.7,357.3,312.6,5.0,3.0,4.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-13,アイムジャグラーEX-TP,111,4970,-375,18,14,155.3,276.1,355.0,6.276490388634727,2,3,32,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-13,アイムジャグラーEX-TP,112,4931,1598,23,15,129.8,214.4,328.7,5.752411317264394,3,3,38,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-13,アイムジャグラーEX-TP,113,5795,1625,26,21,123.3,222.9,276.0,5.986675076593541,4,3,47,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-13,アイムジャグラーEX-TP,115,6013,-264,21,18,154.2,286.3,334.1,6.052311152970106,2,3,39,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-13,アイムジャグラーEX-TP,116,879,-486,2,1,293.0,439.5,879.0,6.175770870048081,0,3,3,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-13,アイムジャグラーEX-TP,117,3124,-680,10,7,183.8,312.4,446.3,6.18733062454745,0,3,17,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-13,アイムジャグラーEX-TP,118,4516,-347,16,13,155.7,282.2,347.4,6.215416851533799,2,3,29,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-13,アイムジャグラーEX-TP,120,1273,-83,5,3,159.1,254.6,424.3,6.390757308255192,0,3,8,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-13,アイムジャグラーEX-TP,121,8023,-264,26,33,136.0,308.6,243.1,6.204373101689381,5,3,59,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
